primaryTitle,startYear,genres,averageRating,numVotes
The X-Files,1993.0,"Adventure,Crime,Drama",8.6,269799
True Blood,2008.0,"Drama,Fantasy,Mystery",7.9,269793
Fringe,2008.0,"Drama,Mystery,Sci-Fi",8.4,268073
Andor,2022.0,"Action,Adventure,Drama",8.6,264834
Doctor Who,2005.0,"Adventure,Drama,Sci-Fi",8.5,261554
New Girl,2011.0,"Comedy,Romance",7.8,260998
Heroes,2006.0,"Crime,Drama,Fantasy",7.5,259029
Obi-Wan Kenobi,2022.0,"Action,Adventure,Sci-Fi",7.0,258443
Gotham,2014.0,"Action,Crime,Drama",7.8,250373
Once Upon a Time,2011.0,"Adventure,Fantasy,Romance",7.7,246535
Downton Abbey,2010.0,"Drama,Romance",8.7,243751
The End of the F***ing World,2017.0,"Adventure,Comedy,Crime",8.0,243071
Big Little Lies,2017.0,"Crime,Drama,Mystery",8.4,242126
Twin Peaks,1990.0,"Crime,Drama,Mystery",8.7,242020
Fullmetal Alchemist: Brotherhood,2009.0,"Action,Adventure,Animation",9.1,240824
Fleabag,2016.0,"Comedy,Drama",8.7,240436
Hawkeye,2021.0,"Action,Adventure,Crime",7.4,239910
Cobra Kai,2018.0,"Action,Comedy,Drama",8.4,239546
Shōgun,2024.0,"Action,Adventure,Drama",8.6,238207
Jessica Jones,2015.0,"Action,Crime,Drama",7.8,237454
Criminal Minds,2005.0,"Crime,Drama,Mystery",8.1,237429
Agents of S.H.I.E.L.D.,2013.0,"Action,Adventure,Sci-Fi",7.5,234007
Planet Earth,2006.0,"Documentary,Family",9.4,233576
The Penguin,2024.0,"Crime,Drama",8.6,227641
"Love, Death & Robots",2019.0,"Action,Adventure,Animation",8.4,226496
BoJack Horseman,2014.0,"Animation,Comedy,Drama",8.8,226494
One Punch Man,2015.0,"Action,Animation,Comedy",8.6,220426
The Mentalist,2008.0,"Crime,Drama,Mystery",8.2,219909
Monster,2022.0,"Biography,Crime,Drama",7.8,219831
Mare of Easttown,2021.0,"Crime,Drama,Mystery",8.4,216987
The Good Place,2016.0,"Comedy,Drama,Fantasy",8.2,216488
Boardwalk Empire,2010.0,"Crime,Drama",8.6,216146
Demon Slayer: Kimetsu no Yaiba,2019.0,"Action,Adventure,Animation",8.6,215758
Naruto: Shippuden,2007.0,"Action,Adventure,Animation",8.7,215070
Bridgerton,2020.0,"Drama,Romance",7.4,214144
Gossip Girl,2007.0,"Drama,Romance",7.5,212221
The Sandman,2022.0,"Drama,Fantasy,Horror",7.6,207023
She-Hulk: Attorney at Law,2022.0,"Action,Adventure,Comedy",5.2,206707
The Book of Boba Fett,2021.0,"Action,Adventure,Sci-Fi",7.1,206352
Silo,2023.0,"Drama,Mystery,Sci-Fi",8.1,205987
24,2001.0,"Action,Crime,Drama",8.4,205637
Person of Interest,2011.0,"Action,Crime,Drama",8.5,202963
Rome,2005.0,"Action,Drama,Romance",8.7,201493
Only Murders in the Building,2021.0,"Comedy,Crime,Drama",8.0,200924
Altered Carbon,2018.0,"Action,Adventure,Drama",7.9,200585
That '70s Show,1998.0,"Comedy,Drama,Romance",8.1,197446
Outlander,2014.0,"Adventure,Drama,Fantasy",8.3,196976
Californication,2007.0,"Comedy,Drama",8.3,194292
The Night Of,2016.0,"Crime,Drama,Mystery",8.4,191115
Tom Clancy's Jack Ryan,2018.0,"Action,Crime,Drama",8.0,190073
The Expanse,2015.0,"Drama,Mystery,Sci-Fi",8.5,189107
Bones,2005.0,"Crime,Drama,Mystery",7.8,188399
Peacemaker,2022.0,"Action,Adventure,Comedy",8.3,188286
Pretty Little Liars,2010.0,"Drama,Mystery,Romance",7.3,187118
Baby Reindeer,2024.0,"Biography,Comedy,Drama",7.7,186775
Hunter x Hunter,2011.0,"Action,Adventure,Animation",9.0,185889
Battlestar Galactica,2004.0,"Action,Adventure,Drama",8.7,185444
The Last Kingdom,2015.0,"Action,Drama,History",8.5,185414
Castle,2009.0,"Comedy,Crime,Drama",8.1,185067
One Piece,2023.0,"Action,Adventure,Comedy",8.3,184017
Entourage,2004.0,"Comedy,Drama",8.4,182623
Jujutsu Kaisen,2020.0,"Action,Adventure,Animation",8.5,181440
Silicon Valley,2014.0,Comedy,8.5,179714
The Last Dance,2020.0,"Biography,Documentary,History",9.0,177291
How to Get Away with Murder,2014.0,"Crime,Drama,Mystery",8.1,177224
Teen Wolf,2011.0,"Action,Drama,Fantasy",7.7,176422
3 Body Problem,2024.0,"Adventure,Drama,Fantasy",7.5,176007
NCIS,2003.0,"Action,Crime,Drama",7.8,175061
The IT Crowd,2006.0,Comedy,8.5,174570
Archer,2009.0,"Action,Animation,Comedy",8.6,174560
Dragon Ball Z,1996.0,"Action,Adventure,Animation",8.8,173849
The Gentlemen,2024.0,"Action,Comedy,Crime",8.0,173758
Planet Earth II,2016.0,Documentary,9.4,173077
Gravity Falls,2012.0,"Adventure,Animation,Comedy",8.9,172560
This Is Us,2016.0,"Comedy,Drama,Romance",8.7,172480
Buffy the Vampire Slayer,1997.0,"Action,Adventure,Drama",8.3,172398
Scam 1992: The Harshad Mehta Story,2020.0,"Biography,Crime,Drama",9.2,171392
The Heroes,2008.0,"Animation,Drama,History",8.4,171333
Gilmore Girls,2000.0,"Comedy,Drama",8.2,171209
Sense8,2015.0,"Drama,Mystery,Sci-Fi",8.2,170430
Schitt's Creek,2015.0,Comedy,8.5,168590
Bodyguard,2018.0,"Crime,Drama,Mystery",8.0,167781
After Life,2019.0,"Comedy,Drama",8.4,166510
Midnight Mass,2021.0,"Drama,Fantasy,Horror",7.7,165897
Cowboy Bebop,1998.0,"Action,Adventure,Animation",8.9,165717
Six Feet Under,2001.0,"Comedy,Drama",8.7,165275
Curb Your Enthusiasm,2000.0,Comedy,8.8,164691
From,2022.0,"Drama,Horror,Mystery",7.8,164269
Riverdale,2017.0,"Crime,Drama,Mystery",6.4,164248
