primaryTitle,startYear,genres,averageRating,numVotes
Da Vinci's Demons,2013.0,"Adventure,Biography,Drama",7.9,81062
Nobody Wants This,2024.0,"Comedy,Drama,Romance",7.8,80247
Angel,1999.0,"Action,Adventure,Drama",7.9,80059
Line of Duty,2012.0,"Crime,Drama,Mystery",8.7,79514
TVF Pitchers,2015.0,"Comedy,Drama",9.1,79285
Tokyo Ghoul,2014.0,"Action,Animation,Drama",7.7,79229
Disenchantment,2018.0,"Action,Adventure,Animation",7.2,79214
Your Honor,2020.0,"Crime,Drama,Thriller",7.6,79013
Anne with an E,2017.0,"Drama,Family",8.6,78715
Master of None,2015.0,"Comedy,Drama",8.2,78489
iZombie,2015.0,"Comedy,Crime,Drama",7.8,78464
Ratched,2020.0,"Crime,Drama,History",7.2,78464
Friday Night Lights,2006.0,"Drama,Sport",8.7,78382
Defending Jacob,2020.0,"Crime,Drama,Mystery",7.8,78359
Chappelle's Show,2003.0,"Comedy,Music",8.8,78179
Sweet Tooth,2021.0,"Action,Adventure,Drama",7.7,78036
Ballers,2015.0,"Comedy,Drama,Sport",7.6,77839
Sandeep Bhaiya,2023.0,Drama,9.1,76874
Star Trek: Deep Space Nine,1993.0,"Action,Adventure,Drama",8.1,76230
Shadowhunters,2016.0,"Action,Drama,Fantasy",6.5,76128
Paranormal,2020.0,"Drama,Fantasy,Horror",8.0,75624
ER,1994.0,"Drama,Romance",7.9,75598
Dragon Ball,1986.0,"Action,Adventure,Animation",8.5,75185
Space Force,2020.0,Comedy,6.7,75149
Stargate: Atlantis,2004.0,"Action,Adventure,Drama",8.1,75146
Sapne Vs Everyone,2023.0,Drama,9.2,75009
Berserk,1997.0,"Action,Adventure,Animation",8.7,74922
Limitless,2015.0,"Comedy,Crime,Drama",7.6,74644
Dragon Ball,1995.0,"Action,Adventure,Animation",8.5,74468
Paatal Lok,2020.0,"Action,Crime,Drama",8.2,74460
Derry Girls,2018.0,Comedy,8.5,73991
Queen Charlotte: A Bridgerton Story,2023.0,"Drama,History,Romance",7.6,73922
A Discovery of Witches,2018.0,"Drama,Fantasy,Romance",7.8,73774
Snowpiercer,2020.0,"Action,Drama,Sci-Fi",6.9,73741
Heated Rivalry,2025.0,"Drama,Romance,Sport",9.0,73629
Star Trek: Strange New Worlds,2022.0,"Action,Adventure,Sci-Fi",8.2,73349
Nine Perfect Strangers,2021.0,"Drama,Mystery,Thriller",6.9,73074
Black Doves,2024.0,"Action,Drama,Mystery",7.2,72978
Peep Show,2003.0,Comedy,8.7,72898
Bleach: Thousand-Year Blood War,2022.0,"Action,Adventure,Animation",9.0,72391
Happy Valley,2014.0,"Crime,Drama,Thriller",8.5,72210
Erased,2016.0,"Animation,Crime,Drama",8.4,72091
A Series of Unfortunate Events,2017.0,"Adventure,Comedy,Drama",7.7,71587
Regular Show,2010.0,"Action,Adventure,Animation",8.6,71556
Dark Matter,2024.0,"Drama,Sci-Fi,Thriller",7.6,71506
Travelers,2016.0,"Drama,Mystery,Sci-Fi",8.0,71285
Chicago Fire,2012.0,"Action,Drama",8.0,70783
The Perfect Couple,2024.0,"Crime,Drama,Mystery",6.5,70683
Veep,2012.0,Comedy,8.4,70639
Asur: Welcome to Your Dark Side,2020.0,"Crime,Drama,Mystery",8.5,70201
Vikings: Valhalla,2022.0,"Action,Adventure,Drama",7.4,69931
Mayor of Kingstown,2021.0,"Crime,Drama,Thriller",8.2,69877
The Summer I Turned Pretty,2022.0,"Drama,Romance",7.3,69619
Flight of the Conchords,2007.0,"Comedy,Music,Musical",8.5,69372
Eastbound & Down,2009.0,"Comedy,Drama,Sport",8.2,69276
Masters of the Air,2024.0,"Action,Drama,History",7.8,68745
M*A*S*H,1972.0,"Comedy,Drama,War",8.5,68553
Don't F**k with Cats: Hunting an Internet Killer,2019.0,"Crime,Documentary,Mystery",8.0,68331
The Stranger,2020.0,"Crime,Drama,Mystery",7.2,68307
The Last Ship,2014.0,"Action,Drama,Sci-Fi",7.4,68300
The Last Man on Earth,2015.0,"Action,Comedy,Drama",7.4,67730
Fool Me Once,2024.0,"Crime,Drama,Mystery",6.8,67405
Cheers,1982.0,"Comedy,Drama",8.0,67295
The Chosen,2017.0,"Drama,History",9.1,67247
